images_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,source domain,target domain,target modality,source modality
Image_(1).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,text dominant,垃圾,辣鸡,text,text
Image_(10).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,宝宝,我,text,text
Image_(100).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1000).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,text dominant,垃圾,辣鸡,text,complementary
Image_(1001).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,垃圾,辣鸡,text,complementary
Image_(1002).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,text
Image_(1003).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,text
Image_(1004).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,text
Image_(1005).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,text
Image_(1006).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,text
Image_(1007).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈;干你娘,草泥马;甘霖娘,text,text
Image_(1008).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈逼,草泥马B,text,text
Image_(1009).jpg,6(hate),3(very),4(offensive),3(very),1,text dominant,操你妈;禽兽,草泥马;你,text,text
Image_(101).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1010).jpg,4(sorrow),2(moderately),2(expressive),3(very),1,text dominant,操你妈,草泥马,text,complementary
Image_(1011).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,我操你妈,卧槽尼玛,text,complementary
Image_(1012).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),1,text dominant,投降,投翔,text,complementary
Image_(1013).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,敲里吗,text,complementary
Image_(1014).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,我操你妈,卧草泥马,text,complementary
Image_(1015).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,我操你妈,握草泥马,text,complementary
Image_(1016).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操,草,text,complementary
Image_(1017).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,难受，想哭,蓝瘦，香菇,text,complementary
Image_(1018).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,complementary
Image_(1019).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,complementary
Image_(102).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1020).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,complementary
Image_(1021).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(1022).jpg,3(anger),1(slightly),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1023).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(1024).jpg,3(anger),1(slightly),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1025).jpg,3(anger),2(moderately),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1026).jpg,3(anger),3(very),4(offensive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1027).jpg,3(anger),3(very),4(offensive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1028).jpg,3(anger),3(very),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1029).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(103).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1030).jpg,3(anger),3(very),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1031).jpg,1(happiness),2(moderately),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(1032).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(1033).jpg,5(fear),1(slightly),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1034).jpg,7(surprise),2(moderately),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1035).jpg,6(hate),1(slightly),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1036).jpg,1(happiness),2(moderately),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(1037).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,你妈,尼玛,text,text
Image_(1038).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,text dominant,你妈,尼玛,text,text
Image_(1039).jpg,7(surprise),1(slightly),2(expressive),1(slightly),1,text dominant,你妈,尼玛,text,text
Image_(104).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1040).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,妈逼,麻痹,text,text
Image_(1041).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,那么,辣么,text,text
Image_(1042).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,啦,辣,text,text
Image_(1043).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,你妈，垃圾,尼玛，腊鸡,text,text
Image_(1044).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,我操你妈,卧槽尼玛,text,text
Image_(1045).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,老子,劳资,text,text
Image_(1046).jpg,1(happiness),2(moderately),4(offensive),2(moderately),1,text dominant,老子,劳资,text,text
Image_(1047).jpg,3(anger),3(very),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1048).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,老子,劳资,text,text
Image_(1049).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(105).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀；保护,鸭；罩,text,image加text
Image_(1050).jpg,1(happiness),3(very),4(offensive),2(moderately),1,text dominant,老子,劳资,text,text
Image_(1051).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1052).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1053).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1054).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,老子,劳资,text,text
Image_(1055).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1056).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,老子,劳资,text,text
Image_(1057).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,老子,劳资,text,text
Image_(1058).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1059).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,老子,劳资,text,text
Image_(106).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1060).jpg,3(anger),3(very),2(expressive),0(non-offensive),1,text dominant,老子,劳资,text,text
Image_(1061).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,操你妈,草泥马,text,complementary
Image_(1062).jpg,3(anger),3(very),2(expressive),0(non-offensive),1,complementary,被出轨,绿色,text,image
Image_(1063).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,牛逼;厉害,nb;666,text,text
Image_(1064).jpg,1(happiness),3(very),4(offensive),3(very),1,complementary,傻逼,你,complementary,text
Image_(1065).jpg,6(hate),3(very),4(offensive),3(very),1,text dominant,发骚,发烧,text,text
Image_(1066).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,厉害,6,text,text
Image_(1067).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,特么,TM,text,text
Image_(1068).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,厉害,6,text,text
Image_(1069).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,厉害,6,text,text
Image_(107).jpg,1(happiness),3(very),1(interactive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1070).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,说不出话,嗦不粗话,text,text
Image_(1071).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,不要,雅蠛蝶,text,text
Image_(1072).jpg,5(fear),1(slightly),4(offensive),2(moderately),1,text dominant,不要,雅蠛蝶,text,text
Image_(1073).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),1,text dominant,不要,雅蠛蝶,text,text
Image_(1074).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,complementary,火冒三丈,火冒三藏,complementary,complementary
Image_(1075).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,老虎,脑斧,image,text
Image_(1076).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,海豚,海疼,image,text
Image_(1077).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,老虎,脑斧,image,text
Image_(1078).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,蜘蛛,鸡居,image,text
Image_(1079).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,花蝴蝶,发福蝶,image,text
Image_(108).jpg,3(anger),1(slightly),4(offensive),1(slightly),1,complementary,脚,Jio,image,text
Image_(1080).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,乌龟,乌堆,image,text
Image_(1081).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,老虎,脑斧,image,text
Image_(1082).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,image dominant,老虎,猫,image,image
Image_(1083).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,老虎;老虎,脑斧;猫,text,complementary
Image_(1084).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,常,肠,text,image
Image_(1085).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,complementary
Image_(1086).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1087).jpg,3(anger),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1088).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1089).jpg,3(anger),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(109).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,呀,鸭,text,text
Image_(1090).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1091).jpg,6(hate),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌;傻屌,沙雕;你,text,complementary
Image_(1092).jpg,4(sorrow),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1093).jpg,1(happiness),2(moderately),2(expressive),1(slightly),1,text dominant,傻屌,沙雕,text,text
Image_(1094).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1095).jpg,1(happiness),3(very),2(expressive),1(slightly),1,text dominant,傻屌,沙雕,text,text
Image_(1096).jpg,1(happiness),3(very),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1097).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1098).jpg,3(anger),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1099).jpg,1(happiness),3(very),2(expressive),1(slightly),1,text dominant,傻屌,沙雕,text,text
Image_(11).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,text
Image_(110).jpg,4(sorrow),1(slightly),5(other),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1100).jpg,1(happiness),2(moderately),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1101).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,手机；傻屌表情包,人；包,text,image
Image_(1102).jpg,1(happiness),2(moderately),4(offensive),2(moderately),1,text dominant,傻屌,沙雕,text,text
Image_(1103).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,不要,鸭咩爹,text,complementary
Image_(1104).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,呀,鸭,text,complementary
Image_(1105).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,呀;傻逼,鸭;SB,text,complementary
Image_(1106).jpg,3(anger),1(slightly),4(offensive),2(moderately),1,text dominant,傻屌,鲨雕,text,complementary
Image_(1107).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,傻屌网友，生活中所有的破事,创可贴，伤口,text,image
Image_(1108).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,开心,开森,complementary,text
Image_(1109).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,可爱,卡哇伊内,text,text
Image_(111).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1110).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,text dominant,惊喜,京喜,text,complementary
Image_(1111).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,不行,达咩,text,text
Image_(1112).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,迷之,蜜汁,text,text
Image_(1113).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,一京一吒,一惊一乍,complementary,text
Image_(1114).jpg,4(sorrow),2(moderately),3(entertaining),0(non-offensive),1,text dominant,痛经,痛京,text,complementary
Image_(1115).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,不行,达咩,complementary,text
Image_(1116).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,不行,达咩,complementary,text
Image_(1117).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,不行,达咩,complementary,text
Image_(1118).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,不行,达咩,complementary,text
Image_(1119).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,开心,嗨森,complementary,text
Image_(112).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1120).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,你厉害你妈呢,你牛你马呢,text,complementary
Image_(1121).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,法律,法绿,text,text
Image_(1122).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,无,吴,text,complementary
Image_(1123).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,无话可说,无fuck说,text,text
Image_(1124).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,是,柿,text,complementary
Image_(1125).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,是个,skr,text,text
Image_(1126).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,还行,海星,text,complementary
Image_(1127).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,这样,酱,text,text
Image_(1128).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,是个,skr,text,text
Image_(1129).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,text dominant,多损,夺笋,text,text
Image_(113).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1130).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,行,星,text,complementary
Image_(1131).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,image dominant,鹅,猫,image,image
Image_(1132).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),1,text dominant,令人做呕,令人做藕,text,complementary
Image_(1133).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,饿,鳄,text,complementary
Image_(1134).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,text dominant,贪生怕死,贪生pass,text,complementary
Image_(1135).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,不,葡,text,complementary
Image_(1136).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,金榜题名,金榜提名,text,complementary
Image_(1137).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,前程似锦,前橙似锦,text,complementary
Image_(1138).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,一举成名,一举橙名,text,complementary
Image_(1139).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,大功告成,大功告橙,text,complementary
Image_(114).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1140).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,text dominant,损,笋,text,text
Image_(1141).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,淡定,蛋腚,text,complementary
Image_(1142).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,合理,核里,text,complementary
Image_(1143).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,不合理,薄荷里,text,complementary
Image_(1144).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,合理,河里,text,complementary
